measure,english,existing_esla,updated_esla,revised_esla,final_esla
RPBI,I am always telling my child how he/she should behave.,Siempre digo mi hijo(a) como debe comportarse.,Siempre estoy diciéndole a mi niño/a cómo debe comportarse,Siempre le digo a mi niño/a cómo debe comportarse.,Siempre le digo a mi niño/a cómo debe comportarse.
RPBI,I am very strict with my child.,Soy muy estricta con mi hijo(a).,Soy muy estricto/a con mi niño/a,N/A,Soy muy estricto/a con mi niño/a
RPBI,I enjoy doing things with my child.,Me gusta hacer cosas con mi hijo(a).,Me gusta hacer cosas con mi niño/a.,N/A,Me gusta hacer cosas con mi niño/a.
RPBI,I would like to be able to tell my child what to do all the time.,Me gustaría poder decir a mi hijo(a) exactamente lo que el/ella puede hacer.,Me gustaría poder decirle a mi niño/a qué hacer todo el tiempo.,N/A,Me gustaría poder decirle a mi niño/a qué hacer todo el tiempo.
RPBI,I give hard punishment.,Castigo duro.,Doy castigos duros.,N/A,Doy castigos duros.
RPBI,I cheer my child up when he/she is sad.,Aliento mi hijo(a) cuando esta triste.,Animo a mi niño/a cuando está triste.,N/A,Animo a mi niño/a cuando está triste.
RPBI,I want to control whatever my child does.,Quiero controlar todo que mi hijo(a) hace.,Quiero controlar todo lo que mi niño/a hace.,N/A,Quiero controlar todo lo que mi niño/a hace.
RPBI,I am easy with my child.,Soy fácil con mi hijo(a).,Soy suave con mi niño/a.,N/A,Soy suave con mi niño/a.
RPBI,I give my child a lot of care and attention.,Doy mucha atención y mucho cariño a mi hijo(a).,Le doy mucho cariño y atención a mi niño/a.,N/A,Le doy mucho cariño y atención a mi niño/a.
RPBI,I am always trying to change my child.,Siempre trato de cambiar mi hijo(a).,Siempre estoy tratando de cambiar a mi niño/a.,N/A,Siempre estoy tratando de cambiar a mi niño/a.
RPBI,I let my child off easy when he/she does something wrong.,No castigo mi hijo(a) mucho cuando se comporta mal.,No soy duro/a con mi niño/a cuando hace algo mal.,N/A,No soy duro/a con mi niño/a cuando hace algo mal.
RPBI,I make my child feel like the most important person in my life.,Hago mi hijo(a) sentir que el/ella es la persona más importante de mi vida.,Hago a mi niño/a sentir como la persona más importante de mi vida,N/A,Hago a mi niño/a sentir como la persona más importante de mi vida
RPBI,I only keep rules when it suits me.,Sólo aplico las reglas cuando me conviene.,Sólo aplico las reglas cuando me conviene.,N/A,Sólo aplico las reglas cuando me conviene.
RPBI,I give my child as much freedom as he/she wants.,Doy cuanta libertad que mi hijo(a) quiera.,Le doy a mi niño/a tanta libertad como quiera.,N/A,Le doy a mi niño/a tanta libertad como quiera.
RPBI,I believe in showing my love for my child.,Creo en demostrar mi hijo(a) mi amor por el/ella.,Creo en demostrar mi amor por mi niño/a.,N/A,Creo en demostrar mi amor por mi niño/a.
RPBI,"I am less friendly with my child, if my child does not see things my way.","Soy menos amigable con mi hijo(a), si el/ella no ve las cosas de mi manera.",Soy menos amigable con mi niño/a si no ve las cosas a mi manera.,N/A,Soy menos amigable con mi niño/a si no ve las cosas a mi manera.
RPBI,I let my child go any place he/she pleases without asking.,Dejo mi hijo(a) ir a cualquier lugar sin pedirme.,Dejo a mi niño/a ir a cualquier lugar que le plazca sin preguntarme.,N/A,Dejo a mi niño/a ir a cualquier lugar que le plazca sin preguntarme.
RPBI,I often praise my child.,Doy alabanzas a mi hijo(a) frecuentemente.,Halago a mi niño/a a menudo.,N/A,Halago a mi niño/a a menudo.
RPBI,I will avoid looking at my child when he/she has disappointed me.,Evito mirar a mi hijo(a) cuando el/ella me ha decepcionado.,Evito mirar a mi niño/a cuando me ha decepcionado.,N/A,Evito mirar a mi niño/a cuando me ha decepcionado.
RPBI,I let my child go out any evening he/she wants.,Dejo mi hijo(a) salir cualquier noche que el/ella quiere.,Dejo a mi niño/a salir cuaquier noche que quiera.,N/A,Dejo a mi niño/a salir cuaquier noche que quiera.
RPBI,I am easy to talk to.,Soy fácil para hablar.,Es fácil hablarme.,N/A,Es fácil hablarme.
RPBI,"If my child hurts my feelings, I stop talking to my child until he/she pleases me again.","Si mi hijo(a) hiere mis sentimientos, yo paro de hablar con mi hijo(a) hasta que el/ella me da alabanzas.","Si mi niño/a hiere mis sentimientos, dejo de hablarle hasta que me complazca de nuevo.",N/A,"Si mi niño/a hiere mis sentimientos, dejo de hablarle hasta que me complazca de nuevo."
RPBI,I let my child do anything he/she likes to do.,Dejo mi hijo(a) hacer todo lo que el/ella quiere hacer.,Dejo a mi niño/a hacer cualquier cosa que le guste.,N/A,Dejo a mi niño/a hacer cualquier cosa que le guste.
