measure,english,eseu,draft_esla,revised_esla,final_esla
SCAARED,It is hard for me to stop worrying.,Me cuesta dejar de preocuparme.,Me cuesta dejar de preocuparme.,N/A,Me cuesta dejar de preocuparme.
SCAARED,People tell me that I look nervous.,La gente me dice que parezco nervioso(a).,La gente me dice que parezco nervioso(a).,N/A,La gente me dice que parezco nervioso(a).
SCAARED,I feel nervous with people I don't know well.,Me siento nervioso(a) con personas que no conozco bien.,Me siento nervioso(a) con personas que no conozco bien.,N/A,Me siento nervioso(a) con personas que no conozco bien.
SCAARED,"I get stomachaches at school, at work, or in public places.","Me dan dolores del estómago en la universidad, instituto, en el trabajo o en lugares públicos.","Me dan dolores del estómago en la universidad, instituto, en el trabajo o en lugares públicos.",N/A,"Me dan dolores del estómago en la universidad, instituto, en el trabajo o en lugares públicos."
SCAARED,"When I get anxious, I feel like I'm going crazy.","Cuando me pongo ansioso(a), siento que me estoy volviendo loco(a).","Cuando me pongo ansioso(a), siento que me estoy volviendo loco(a).",N/A,"Cuando me pongo ansioso(a), siento que me estoy volviendo loco(a)."
SCAARED,I worry about sleeping alone.,Me preocupa dormir solo(a).,Me preocupa dormir solo(a).,N/A,Me preocupa dormir solo(a).
SCAARED,I worry about being as good as other people.,Me preocupa ser tan bueno(a) como los demás.,Me preocupa ser tan bueno(a) como los demás.,N/A,Me preocupa ser tan bueno(a) como los demás.
SCAARED,"When I get anxious, I feel like things are not real.","Cuando me pongo ansioso(a), siento que las cosas no son reales.","Cuando me pongo ansioso(a), siento que las cosas no son reales.",N/A,"Cuando me pongo ansioso(a), siento que las cosas no son reales."
SCAARED,I have nightmares about something bad happening to my family.,Tengo pesadillas sobre algo malo que le pasa a mi familia.,Tengo pesadillas sobre algo malo que le pasa a mi familia.,N/A,Tengo pesadillas sobre algo malo que le pasa a mi familia.
SCAARED,"I worry about going to work or school, or to public places.",Me preocupa ir al trabajo o a la universidad o instituto o a lugares públicos.,Me preocupa ir al trabajo o a la universidad o instituto o a lugares públicos.,N/A,Me preocupa ir al trabajo o a la universidad o instituto o a lugares públicos.
SCAARED,"When I get anxious, my heart beats fast.","Cuando me siento ansioso(a), mi corazón late rápido.","Cuando me siento ansioso(a), mi corazón late rápido.",N/A,"Cuando me siento ansioso(a), mi corazón late rápido."
SCAARED,I get shaky.,Me pongo tembloroso(a).,Me pongo tembloroso(a).,N/A,Me pongo tembloroso(a).
SCAARED,I have nightmares about something bad happening to me.,Tengo pesadillas sobre algo malo que me está pasando.,Tengo pesadillas sobre algo malo que me está pasando.,N/A,Tengo pesadillas sobre algo malo que me está pasando.
SCAARED,I worry about things working out for me.,Me preocupa cómo me van a salir las cosas,Me preocupa que las cosas funcionen para mí,Me preocupa que las cosas me salgan bien.,Me preocupa que las cosas me salgan bien.
SCAARED,"When I get anxious, I sweat a lot.","Cuando me siento ansioso(a), sudo mucho","Cuando me siento ansioso(a), sudo mucho",N/A,"Cuando me siento ansioso(a), sudo mucho"
SCAARED,I am a worrier.,Soy una persona preocupada.,Soy una persona preocupada.,N/A,Soy una persona preocupada.
SCAARED,"When I worry a lot, I have trouble sleeping.","Cuando me preocupo mucho, tengo problemas para dormir.","Cuando me preocupo mucho, tengo problemas para dormir.",N/A,"Cuando me preocupo mucho, tengo problemas para dormir."
SCAARED,I get really frightened for no reason at all.,Me asusto mucho sin ninguna razón.,Me asusto mucho sin ninguna razón.,N/A,Me asusto mucho sin ninguna razón.
SCAARED,I am afraid to be alone in the house.,Tengo miedo de estar solo(a) en la casa.,Tengo miedo de estar solo(a) en la casa.,N/A,Tengo miedo de estar solo(a) en la casa.
SCAARED,It is hard for me to talk with people I don't know well.,Es difícil para mí hablar con gente que no conozco bien.,Es difícil para mí hablar con gente que no conozco bien.,N/A,Es difícil para mí hablar con gente que no conozco bien.
SCAARED,"When I get anxious, I feel like I'm choking.","Cuando me siento ansioso(a), siento que me estoy ahogando.","Cuando me siento ansioso(a), siento que me estoy ahogando.",N/A,"Cuando me siento ansioso(a), siento que me estoy ahogando."
SCAARED,People tell me that I worry too much.,La gente me dice que me preocupo demasiado.,La gente me dice que me preocupo demasiado.,N/A,La gente me dice que me preocupo demasiado.
SCAARED,I don't like to be away from my family.,No me gusta estar lejos de mi familia.,No me gusta estar lejos de mi familia.,N/A,No me gusta estar lejos de mi familia.
SCAARED,"When I worry a lot, I feel restless.","Cuando me preocupo mucho, me siento inquieto(a).","Cuando me preocupo mucho, me siento inquieto(a).",N/A,"Cuando me preocupo mucho, me siento inquieto(a)."
SCAARED,I am afraid of having anxiety (or panic) attacks.,Tengo miedo de tener ataques de ansiedad (o pánico).,Tengo miedo de tener ataques de ansiedad (o pánico).,N/A,Tengo miedo de tener ataques de ansiedad (o pánico).
SCAARED,I worry that something bad might happen to my family.,Me preocupa que algo malo le pueda pasar a mi familia.,Me preocupa que algo malo le pueda pasar a mi familia.,N/A,Me preocupa que algo malo le pueda pasar a mi familia.
SCAARED,I feel shy with people I don't know well.,Me siento tímido(a) con gente que no conozco bien.,Me siento tímido(a) con gente que no conozco bien.,N/A,Me siento tímido(a) con gente que no conozco bien.
SCAARED,I worry about what is going to happen in the future.,Me preocupa lo que me vaya a pasar en el futuro.,Me preocupa lo que me vaya a pasar en el futuro.,Me preocupa lo que va a pasar en el futuro.,Me preocupa lo que va a pasar en el futuro.
SCAARED,"When I get anxious, I feel like throwing up.","Cuando me siento ansioso(a), tengo ganas de vomitar.","Cuando me siento ansioso(a), tengo ganas de vomitar.",N/A,"Cuando me siento ansioso(a), tengo ganas de vomitar."
SCAARED,I worry about how well I do things.,Me preocupa saber si hago las cosas bien.,Me preocupa qué tan bien hago las cosas,N/A,Me preocupa qué tan bien hago las cosas
SCAARED,I am afraid to go outside or to crowded places by myself.,Tengo miedo de salir o ir a lugares concurridos solo(a).,Tengo miedo de salir o ir a lugares concurridos solo(a).,N/A,Tengo miedo de salir o ir a lugares concurridos solo(a).
SCAARED,I worry about things that have already happened.,Me preocupo de las cosas que ya han sucedido.,Me preocupo de las cosas que ya han sucedido.,N/A,Me preocupo de las cosas que ya han sucedido.
SCAARED,"When I get anxious, I feel dizzy.","Cuando me pongo ansioso(a), me siento mareado(a).","Cuando me pongo ansioso(a), me siento mareado(a).",N/A,"Cuando me pongo ansioso(a), me siento mareado(a)."
SCAARED,"I feel nervous when I am with other people and I have to do something while they watch me (for example: speak, play a sport.)","Me siento nervioso(a) cuando estoy con otras personas y tengo que hacer algo mientras me miran (por ejemplo: hablar, hacer un deporte).","Me siento nervioso(a) cuando estoy con otras personas y tengo que hacer algo mientras me miran (por ejemplo: hablar, hacer un deporte).",N/A,"Me siento nervioso(a) cuando estoy con otras personas y tengo que hacer algo mientras me miran (por ejemplo: hablar, hacer un deporte)."
SCAARED,"I feel nervous when I go to parties, dances, or any place where there will be people that I don't know well.","Me siento nervioso(a) cuando voy a fiestas, bailes o cualquier lugar donde haya gente que no conozco bien.","Me siento nervioso(a) cuando voy a fiestas, bailes o cualquier lugar donde haya gente que no conozco bien.",N/A,"Me siento nervioso(a) cuando voy a fiestas, bailes o cualquier lugar donde haya gente que no conozco bien."
SCAARED,I am shy.,Soy tímido(a).,Soy tímido(a).,N/A,Soy tímido(a).
SCAARED,"When I worry a lot, I feel irritable.","Cuando me preocupo mucho, me siento irritable.","Cuando me preocupo mucho, me siento irritable.",N/A,"Cuando me preocupo mucho, me siento irritable."
