measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla,revised_english,revised_esla
ADEXI Self-Report,I have difficulty remembering lengthy instructions,Tengo dificultades recordando instrucciones largas,n/a,Tengo dificultades recordando instrucciones largas,I have difficulty remembering lengthy instructions.,,Tengo dificultades recordando instrucciones largas.,,
ADEXI Self-Report,I sometimes have difficulty remembering what I am doing in the middle of an activity,A veces tengo dificultades recordando lo que tengo que hacer cuando estoy en medio de una actividad ,A veces tengo dificultades recordando lo que estoy haciendo cuando estoy en medio de una actividad ,A veces tengo dificultades recordando lo que estoy haciendo cuando estoy en medio de una actividad ,I sometimes have difficulty remembering what I am doing in the middle of an activity.,,A veces tengo dificultades recordando lo que estoy haciendo cuando estoy en medio de una actividad.,I have difficulty remembering what I am doing in the middle of an activity,Tengo dificultades recordando lo que estoy haciendo cuando estoy en medio de una actividad.
ADEXI Self-Report,I have a tendency to do things without first thinking about what could happen,Hago las cosas sin primero pensar en lo que pueda pasar,Tengo tendencia a hacer las cosas sin primero pensar en lo que pueda pasar,Tengo tendencia a hacer las cosas sin primero pensar en lo que pueda pasar,I have the tendency of doing things without first thinking of what could happen.,,Tengo tendencia a hacer las cosas sin primero pensar en lo que pueda pasar.,,
ADEXI Self-Report,I sometimes have difficulty stopping myself from doing something that I like even though someone tells me that it is not allowed.,A veces tengo dificultad para dejar de hacer algo que me gusta a pesar de que alguien me diga que no está permitido,n/a,A veces tengo dificultad para dejar de hacer algo que me gusta a pesar de que alguien me diga que no está permitido,"I sometimes have difficulty stopping myself from doing something I like, even when someone tells me it's not allowed.",,A veces tengo dificultad para dejar de hacer algo que me gusta a pesar de que alguien me diga que no está permitido.,I have difficulty stopping myself from doing something that I like even though someone tells me that it is not allowed.,Tengo dificultad para dejar de hacer algo que me gusta a pesar de que alguien me diga que no está permitido.
ADEXI Self-Report,"When someone asks me to do several things, I sometimes remember only the first or last","Cuando alguien me pide que haga varias cosas, aveces solo recuerdo la primera o la última",n/a,"Cuando alguien me pide que haga varias cosas, aveces solo recuerdo la primera o la última","When someone asks me to do multiple things, I sometimes remember only the first or last.",,"Cuando alguien me pide que haga varias cosas, a veces solo recuerdo la primera o la última.","When someone asks me to do several things, I remember only the first or last","Cuando alguien me pide que haga varias cosas, solo recuerdo la primera o la última."
ADEXI Self-Report,I sometimes have difficulty refraining from smiling or laughing in situations where it is inappropriate,A veces tengo dificultad para abstenerme de sonreír o reírme en situaciones inapropiadas,n/a,A veces tengo dificultad para abstenerme de sonreír o reírme en situaciones inapropiadas,I sometimes have difficulty refraining from smiling or laughing in inappropriate situations.,,A veces tengo dificultad para abstenerme de sonreír o reírme en situaciones inapropiadas.,I have difficulty refraining from smiling or laughing in situations where it is inappropriate,Tengo dificultad para abstenerme de sonreír o reírme en situaciones inapropiadas.
ADEXI Self-Report,I have difficulty coming up with a different way of solving a problem when I get stuck,Tengo dificultades para encontrar una forma diferente de resolver un problema cuando me bloqueo.,n/a,Tengo dificultades para encontrar una forma diferente de resolver un problema cuando me bloqueo.,I have difficulty in finding a different way to solve a problem when I get stuck.,,Tengo dificultades para encontrar una forma diferente de resolver un problema cuando me bloqueo.,,
ADEXI Self-Report,"When someone asks me to fetch something, I sometimes forget what I am supposed to fetch","Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenía que traer",n/a,"Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenía que traer","When someone asks me to bring them something, I sometimes forget what I have to bring.",,"Cuando alguien me pide que le traiga algo, a veces se me olvida lo que tenía que traer.","When someone asks me to fetch something, I forget what I am supposed to fetch","Cuando alguien me pide que le traiga algo, se me olvida lo que tenía que traer."
ADEXI Self-Report,"I have difficulty planning for an activity (e.g., remembering to bring everything necessary when going on a trip/to work/to school)","Tengo dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando voy de viaje/al trabajo/a la escuela)",n/a,"Tengo dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando voy de viaje/al trabajo/a la escuela)","I have difficulty planning for an activity (e.g., remembering to bring everything necessary when going on a trip/to work/to school)",,"Tengo dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando voy de viaje/al trabajo/a la escuela).",,
ADEXI Self-Report,"I sometimes have difficulty stopping an activity that I like (e.g., I watch TV or sit in front of the computer in the evening even though it is time to go to bed)","A veces tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque es hora de irme a la cama)","A veces tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque sea hora de ir a la cama)","A veces tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque sea hora de ir a la cama)","I sometimes have difficulty leaving an activity that I like (e.g., I watch television or sit in front of a computer at night despite it being time to go to bed)","Stopping v leaving?-- ok, no change needed.","A veces tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque sea hora de ir a la cama).","I have difficulty stopping an activity that I like (e.g., I watch TV or sit in front of the computer in the evening even though it is time to go to bed)","Tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque sea hora de ir a la cama)."
ADEXI Self-Report,I sometimes have difficulty understanding verbal instructions unless I am also shown how to do something,A veces tengo dificultad para entender instrucciones verbales a menos que también me enseñen cómo hacerlo,n/a,A veces tengo dificultad para entender instrucciones verbales a menos que también me enseñen cómo hacerlo,I sometimes have difficulty in understanding verbal instructions unless I am also shown how to do it.,,A veces tengo dificultad para entender instrucciones verbales a menos que también me enseñen cómo hacerlo.,I have difficulty understanding verbal instructions unless I am also shown how to do something,Tengo dificultad para entender instrucciones verbales a menos que también me enseñen cómo hacerlo.
ADEXI Self-Report,I have difficulties with tasks or activities that involve several steps,Tengo dificultades con tareas o actividades que incluyen varios pasos,n/a,Tengo dificultades con tareas o actividades que incluyen varios pasos,I have difficulties with tasks or activities that involve multiple steps.,,Tengo dificultades con tareas o actividades que incluyen varios pasos.,,
ADEXI Self-Report,I have difficulty thinking ahead or learning from experience,Tengo dificultad para pensar con anticipación o aprender de la experiencia,n/a,Tengo dificultad para pensar con anticipación o aprender de la experiencia,I have difficulty thinking ahead or learning from experience.,,Tengo dificultad para pensar con anticipación o aprender de la experiencia.,,
ADEXI Self-Report,People that I meet sometimes seem to think that I am more lively/wilder compared to other people my age,Las personas que conozco a veces parecen pensar que soy mas alocado/a en comparación con otras personas de mi edad,n/a,Las personas que conozco a veces parecen pensar que soy mas alocado/a en comparación con otras personas de mi edad,The people that I know sometimes think that I am more lively in comparison to other people my age.,"Meet v know? -- ok, no change needed.",Las personas que conozco a veces parecen pensar que soy mas alocado/a en comparación con otras personas de mi edad.,People that I meet seem to think that I am more lively/wilder compared to other people my age,Las personas que conozco parecen pensar que soy mas alocado/a en comparación con otras personas de mi edad.
ADEXI Other-Report,ADULT EXECUTIVE FUNCTIONING INVENTORY (ADEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),EXECUTIVE FUNCTIONING QUESTIONNAIRE FOR ADULTS (ADEXI),,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),,
ADEXI Other-Report,OTHER-REPORT VERSION,VERSIÓN REPORTE-OTRO,n/a,VERSIÓN REPORTE-OTRO,OTHER-REPORT VERSION,,VERSIÓN REPORTE-OTRO,,
ADEXI Other-Report,Below you will find a number of statements.,"A continuación, va a encontrar una serie de declaraciones",n/a,"A continuación, va a encontrar una serie de declaraciones","Continuing, you will find a series of statements.",,"A continuación, va a encontrar una serie de declaraciones.",,
ADEXI Other-Report,Please circle a number to the right of each statement to indicate how well that statement describes the person you are rating.,"Por favor, circule el número a la derecha de cada declaración para indicar cuánto describe la persona a la que está calificando","Por favor, circule el número a la derecha de cada declaración que mejor describe a la persona que está calificando","Por favor, circule el número a la derecha de cada declaración que mejor describe a la persona que está calificando",Please circle the number to the right of each statement that best describes the person you are rating.,,"Por favor, circule el número a la derecha de cada declaración que mejor describe a la persona que está calificando.",,
ADEXI Other-Report,The person that you are rating might have a different opinion about him-/herself – we want to know what you think.,La persona que está calificando puede tener una opinión diferente sobre sí misma; queremos saber lo que usted piensa,n/a,La persona que está calificando puede tener una opinión diferente sobre sí misma; queremos saber lo que usted piensa,The person you are rating might have a different opinion about him/herself; we want to know what you think.,,La persona que está calificando puede tener una opinión diferente sobre sí misma; queremos saber lo que usted piensa.,,
ADEXI Other-Report,Try to respond as honestly as possible.,(recycled from esla adexi self-report),(recycled from esla adexi self-report),(recycled from esla adexi self-report),(recycled from esla adexi self-report),(recycled from esla adexi self-report),Trata de responder lo más honestamente posible.,,
ADEXI Other-Report,Definitely not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente no es cierto,,
ADEXI Other-Report,Not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),No es cierto,,
ADEXI Other-Report,Partially true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Mas o menos cierto,,
ADEXI Other-Report,TRUE,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Cierto,,
ADEXI Other-Report,Definitely true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente cierto,,
ADEXI Other-Report,Has difficulty remembering lengthy instructions,Tiene dificultades en recordar instrucciones largas,Tiene dificultades recordando instrucciones largas,Tiene dificultades recordando instrucciones largas,Has difficulty remembering lengthy instructions.,,Tiene dificultades recordando instrucciones largas.,,
ADEXI Other-Report,Sometimes has difficulty remembering what he/she is doing in the middle of an activity,A veces tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad,n/a,A veces tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad,Sometimes has difficulty remembering what he/she is doing in the middle of an activity.,,A veces tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad.,Has difficulty remembering what he/she is doing in the middle of an activity,Tiene dificultades en recordar lo que él/ella esta haciendo en mitad de una actividad.
ADEXI Other-Report,Has a tendency to do things without first thinking about what could happen,Tiende a hacer cosas sin primero pensar en lo que podría pasar,n/a,Tiende a hacer cosas sin primero pensar en lo que podría pasar,Has the tendency of doing things without first thinking of what could happen.,,Tiende a hacer cosas sin primero pensar en lo que podría pasar.,,
ADEXI Other-Report,Sometimes has difficulty stopping him-/herself from doing something that he/she likes even though someone says that it is not allowed,A veces tiene dificultad para dejar de hacer algo que le gusta a pesar de que alguien le diga que no está permitido,n/a,A veces tiene dificultad para dejar de hacer algo que le gusta a pesar de que alguien le diga que no está permitido,"Sometimes has difficulty stopping him/herself from doing something he/she likes, even when someone tells him/her it's not allowed.",,A veces tiene dificultad para dejar de hacer algo que le gusta a pesar de que alguien le diga que no está permitido.,Has difficulty stopping him-/herself from doing something that he/she likes even though someone says that it is not allowed,Tiene dificultad para dejar de hacer algo que le gusta a pesar de que alguien le diga que no está permitido.
ADEXI Other-Report,"When someone asks him/her to do several things, he/she sometimes remembers only the first or last","Cuando alguien le pide a el/ella que haga varias cosas, aveces solo recuerda la primera o la última",n/a,"Cuando alguien le pide a el/ella que haga varias cosas, aveces solo recuerda la primera o la última","When someone asks him/her to do multiple things, he/she sometimes remembers only the first or last.",,"Cuando alguien le pide a el/ella que haga varias cosas, a veces solo recuerda la primera o la última.","When someone asks him/her to do several things, he/she remembers only the first or last","Cuando alguien le pide a el/ella que haga varias cosas, solo recuerda la primera o la última."
ADEXI Other-Report,Sometimes has difficulty refraining from smiling or laughing in situations where it is inappropriate,A veces tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas,n/a,A veces tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas,Sometimes has difficulty refraining from smiling or laughing in inappropriate situations.,,A veces tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas.,Has difficulty refraining from smiling or laughing in situations where it is inappropriate,Tiene dificultad para abstenerse de sonreír o reír en situaciones inapropiadas.
ADEXI Other-Report,Has difficulty coming up with a different way of solving a problem when he/she gets stuck,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea,n/a,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea,Has difficulties in finding a different way to solve a problem when he/she get stuck.,,Tiene dificultades para encontrar una forma diferente de resolver un problema cuando él/ella se bloquea.,,
ADEXI Other-Report,"When asked to fetch something, he/she sometimes forgets what he/she was supposed to fetch","Cuando alguien le pide que le traiga algo, a veces se le olvida lo que el/ella tenía que traer",n/a,"Cuando alguien le pide que le traiga algo, a veces se le olvida lo que el/ella tenía que traer","When someone asks him/her to bring them something, he/she sometimes forget what he/she has to bring.",,"Cuando alguien le pide que le traiga algo, a veces se le olvida lo que el/ella tenía que traer.","When asked to fetch something, he/she forgets what he/she was supposed to fetch","Cuando alguien le pide que le traiga algo, se le olvida lo que el/ella tenía que traer."
ADEXI Other-Report,"Has difficulty planning for an activity (e.g., remembering to bring everything necessary when going on a trip/to work/to school)","Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de viaje/al trabajo/a la escuela)",n/a,"Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de viaje/al trabajo/a la escuela)","Has difficulty planning for an activity (e.g., remembering to bring everything necessary when going on a trip/to work/to school)",,"Tiene dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando va de viaje/al trabajo/a la escuela).",,
ADEXI Other-Report,"Sometimes has difficulty stopping an activity that he/she likes (e.g., watch TV or sit in front of the computer in the evening even though it is time to go to bed)","A veces tiene dificultades para dejar una actividad que le gusta (ej., ve la televisión o se sienta frente a la computadora por la noche aunque es hora de irse a la cama)","A veces tiene dificultades para dejar una actividad que le gusta (ej., ve la televisión o se sienta frente a la computadora por la noche aunque sea hora de irse a la cama)","A veces tiene dificultades para dejar una actividad que le gusta (ej., ve la televisión o se sienta frente a la computadora por la noche aunque sea hora de irse a la cama)","Sometimes has difficulty leaving an actiity that he/she likes (e.g., watching television or sitting in front of a computer at night despite it being time to go to bed)","Stopping v leaving? -- ok, no change needed.","A veces tiene dificultades para dejar una actividad que le gusta (ej., ve la televisión o se sienta frente a la computadora por la noche aunque sea hora de irse a la cama).","Has difficulty stopping an activity that he/she likes (e.g., watch TV or sit in front of the computer in the evening even though it is time to go to bed)","Tiene dificultades para dejar una actividad que le gusta (ej., ve la televisión o se sienta frente a la computadora por la noche aunque sea hora de irse a la cama)."
ADEXI Other-Report,Sometimes has difficulty understanding verbal instructions unless he/she is also shown how to do something,A veces tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo,n/a,A veces tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo,Sometimes has difficulty in understanding verbal instructions unless he/she is also shown how to do it.,,A veces tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo.,Has difficulty understanding verbal instructions unless he/she is also shown how to do something,Tiene dificultad para entender instrucciones verbales a menos que también se le enseñe a el/ella cómo hacerlo.
ADEXI Other-Report,Has difficulties with tasks or activities that involve several steps,Tiene dificultades con tareas o actividades que incluyen varios pasos,n/a,Tiene dificultades con tareas o actividades que incluyen varios pasos,Has difficulties with tasks or activities that involve multiple steps.,,Tiene dificultades con tareas o actividades que incluyen varios pasos.,,
ADEXI Other-Report,Has difficulty thinking ahead or learning from experience,Tiene dificultad para pensar con anticipación o aprender de la experiencia,n/a,Tiene dificultad para pensar con anticipación o aprender de la experiencia,Has difficulty thinking ahead or learning from experience.,,Tiene dificultad para pensar con anticipación o aprender de la experiencia.,,
ADEXI Other-Report,Appears to be more lively/wilder compared to other people his/her age,Aparenta ser mas alocado/a en comparación con otras personas de su edad,n/a,Aparenta ser mas alocado/a en comparación con otras personas de su edad,Appears to be more lively in comparison to other people his/her age.,,Aparenta ser mas alocado/a en comparación con otras personas de su edad.,,
