measure,english,translated_esla,backtranslated_esla,reconciled_esla,final_esla,corrected_esla_2023-5
EDS-P,Some other aspect of your child's physical appearance,Un otro aspecto de la apariencia física de su hijo/a,Other aspect of the physical appearance of your son/daughter,,Un otro aspecto de la apariencia física de su hijo/a,
EDS-P,Your child's sexual orientation,La orientación sexual de su hijo/a,The sexual orientation of your son/daughter,,La orientación sexual de su hijo/a,
EDS-P,Your family's education or income level,El nivel de educación o nivel de ingreso de su familia,The educational level or income of your family,,El nivel de educación o nivel de ingreso de su familia,
EDS-P,A physical diability,Una discapacidad física,A physical disability,,Una discapacidad física,
EDS-P,Your child's shade of skin color,El color de piel de su hijo/a,The color of your son's/daughter's skin,"FORWARD: Missing the subtlety of ""shade"" within ""skin color"".",El tono de piel de su hijo/a,
EDS-P,Other (specify),Otro (Especifique),Other (Specify),,Otro (Especifique),
HVS-P,Heightened Vigilance Scale (Parent Report),Escala de Vigilancia Aumentada (Reporte Para Los Padres),Heightened Vigilance Scale,"BACK: Missing ""Reporte Para Los Padres"". --from back translator: ""Parent Report""",Escala de Vigilancia Aumentada (Reporte Para Los Padres),
HVS-P,"In dealing with these day-to-day experiences that you just told me about, how often does your child:","Al lidiar con estas experiencias de la vida diaria de las que me acaba de hablar, ¿con qué frecuencia su hijo/a:","When dealing with these experiences of daily living that you just told me, how often does your son/daughter:",,"Al lidiar con estas experiencias de la vida diaria de las que me acaba de hablar, ¿con qué frecuencia su hijo/a:",
HVS-P,Very often,Muy a menudo,Very often,,Muy a menudo,
HVS-P,Fairly often,Bastante a menudo,Fairly often,,Bastante a menudo,
HVS-P,Not too often,No tan a menudo,Not very often,,No tan a menudo,
HVS-P,Hardly ever,Prácticamente nunca,Practically never,"FORWARD: Is ""practically never"" far enough from ""never"" to be distinct (as opposed to ""hardly ever"")?",Casi nunca,
HVS-P,Never,Nunca,Never,,Nunca,
HVS-P,Think in advance about the kinds of problems they are likely to experience?,¿Piensa de antemano en los tipos de problemas que es probable que experience?,Think in advance about the kinds of problems you are likely to experience?,"FORWARD: Does the Spanish imply ""you""? --no, back translator confirmed ok as is",¿Piensa de antemano en los tipos de problemas que es probable que experience?,¿Piensa de antemano en los tipos de problemas que es probable que experimente?
HVS-P,Try to prepare for possible insults before leaving home?,¿Intenta prepararse para posibles insultos antes de salir de casa?,Try to prepare for possible insults before leaving home?,,¿Intenta prepararse para posibles insultos antes de salir de casa?,
HVS-P,Feel that they always have to be very careful about their appearance to get good service or avoid being harassed?,¿Siente que siempre tiene que tener mucho cuidado con su apariencia para recibir un buen servicio o evitar ser acosado?,Feel that you always have to be very careful with your appearance to receive good service or avoid being harassed?,"BACK: Does the Spanish imply ""you""? -- no, back translator confirmed should be ""their""",¿Siente que siempre tiene que tener mucho cuidado con su apariencia para recibir un buen servicio o evitar ser acosado?,
HVS-P,Carefully watch what they say and how they say it?,¿Observa cuidadosamente lo que dicen y cómo lo dicen?,Carefully watch what you say or how you say it?,"BACK: Does the Spanish imply ""you""? -- no, back translator confirmed should be ""their""",¿Observa cuidadosamente lo que dicen y cómo lo dicen?,
HVS-P,Carefully observe what happens around them?,¿Observa cuidadosamente lo que sucede a su alrededor?,Carefully watch what happens around you?,"BACK: Does the Spanish imply ""you""? -- no, back translator confirmed should be ""their""",¿Observa cuidadosamente lo que sucede a su alrededor?,
HVS-P,Try to avoid certain social situations and places?,¿Trata de evitar ciertas situaciones sociales y lugares?,Try to avoid certain social situations and places?,,¿Trata de evitar ciertas situaciones sociales y lugares?,
