measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
RSRI-P,Was the child scared that they would be kidnapped or otherwise separated from their parents/guardians?,El niño/a tenía miedo de ser secuestrado o separado de otra manera de sus padres/guardianes?,N/A,El niño/a tenía miedo de ser secuestrado o separado de otra manera de sus padres/guardianes?,Was the child afraid of being abducted or otherwise separated from their parents/guardians?,NA,El niño/a tenía miedo de ser secuestrado o separado de otra manera de sus padres/guardianes?
RSRI-P,"Did it upset the child when they were left with a new, unfamiliar baby-sitter?",El niño/a se molestaba cuando se le dejaba con un nuevo/a niñero/a desconocido?,N/A,El niño/a se molestaba cuando se le dejaba con un nuevo/a niñero/a desconocido?,"Did the child get upset when left with a new, unfamiliar babysitter?",NA,El niño/a se molestaba cuando se le dejaba con un nuevo/a niñero/a desconocido?
RSRI-P,"When you went out without the child, were they scared that you might not come back?","Cuando usted salía sin el niño/a, él/ella temía que usted quizás no regresara?",N/A,"Cuando usted salía sin el niño/a, él/ella temía que usted quizás no regresara?","When you left without the child, did he/she fear that you might not return?","Original uses ""went out"" implying typical activities, versus the more general ""left"" in the back translation. --All three indidivuals invovled in translation confirmed: the same is implied in spanish! salia can be translated either as ""left"" or ""went out""","Cuando usted salía sin el niño/a, él/ella temía que usted quizás no regresara?"
RSRI-P,Did the child sleep over at friends' houses?,El niño/a se quedaba a dormir en casa de sus amigos?,N/A,El niño/a se quedaba a dormir en casa de sus amigos?,Did the child sleep over at their friend's house?,"Original is general (""friends' houses"") whereas back translation implies a singular friend. --Back translator confirmed this was a typo in back translation.",El niño/a se quedaba a dormir en casa de sus amigos?
RSRI-P,Did the child try new foods?,El niño/a probaba comidas nuevas?,N/A,El niño/a probaba comidas nuevas?,Did the child try new foods?,NA,El niño/a probaba comidas nuevas?
RSRI-P,Was the child usually scared on the first day of school of a new school year?,Usualmente el niño/a estaba asustado/a el primer día de un nuevo año escolar?,N/A,Usualmente el niño/a estaba asustado/a el primer día de un nuevo año escolar?,Was the child usually scared on the first day of a new school year?,NA,Usualmente el niño/a estaba asustado/a el primer día de un nuevo año escolar?
RSRI-P,Did the child ever pretend to be sick in order to avoid going to school or to other social events?,Alguna vez el niño/a fingió estar enfermo/a para evitar ir a la escuela u otros eventos sociales?,N/A,Alguna vez el niño/a fingió estar enfermo/a para evitar ir a la escuela u otros eventos sociales?,Has the child ever pretended to be sick to avoid going to school or other social events?,"Tense change: ""did"" versus ""has done"" (which implies that it continues into the present). --From back translator: ""the spanish translation more implies past events than continuing into the present, when i was translating it into english i actually didnt consider that ""has done"" implies more future events!""",Alguna vez el niño/a fingió estar enfermo/a para evitar ir a la escuela u otros eventos sociales?
RSRI-P,Did it upset the child to be called up to the blackboard?,Al niño/a le preocupaba que le llamaran a la pizarra?,N/A,Al niño/a le preocupaba que le llamaran a la pizarra?,Was the child worried about being called to the board?,"""Upset"" versus ""worried.""",Al niño/a le incomodaba que le llamaran a la pizarra?
RSRI-P,"Did it upset the child to be called on, even if they knew the answer?","Al niño/a le preocupaba que le llamaran, incluso si se sabía la respuesta?","Al niño/a le molestaba que le llamaran, incluso si se sabía la respuesta?","Al niño/a le incomodaba que le llamaran, incluso si se sabía la respuesta?","Did the child feel uncomfortable being called, including if they knew the answer?","""Upset"" versus ""feel uncomfortable."" --Discussion among translation team that ""incomodaba"" was the most appropriate term.","Al niño/a le incomodaba que le llamaran, incluso si se sabía la respuesta?"
RSRI-P,Did the child’s teachers have trouble hearing them when they spoke or answered a question in class?,Los maestros del niño/a tenían problemas para escuchar al niño/a cuando hablaba o respondía una pregunta en clases?,N/A,Los maestros del niño/a tenían problemas para escuchar al niño/a cuando hablaba o respondía una pregunta en clases?,Did the child's teachers have problems hearing the child when speaking or responding to a question in class?,Clarity: it is child speaking/responding. --Back translator and editor confirmed the Spanish implies the child is speaking.,Los maestros del niño/a tenían problemas para escuchar al niño/a cuando hablaba o respondía una pregunta en clases?
RSRI-P,"If there was something that the child did not understand in class, did they ask the teacher for help?","Si había algo que el niño/a no entendía en clase, le pedía ayuda al maestro/a?",N/A,"Si había algo que el niño/a no entendía en clase, le pedía ayuda al maestro/a?","If there was something the child didn't understand in class, did they ask the teacher for help?",NA,"Si había algo que el niño/a no entendía en clase, le pedía ayuda al maestro/a?"
RSRI-P,"During recess, did the child play with the main group of children?","Durante el receso, el niño/a jugaba con el grupo principal de niños?",N/A,"Durante el receso, el niño/a jugaba con el grupo principal de niños?","During recess, did the child play with the main group of children?",NA,"Durante el receso, el niño/a jugaba con el grupo principal de niños?"
RSRI-P,Did the child enjoy participating in party games?,El niño/a disfrutaba participar en juegos de fiesta?,N/A,El niño/a disfrutaba participar en juegos de fiesta?,Did the child enjoy participating in party games?,NA,El niño/a disfrutaba participar en juegos de fiesta?
RSRI-P,Did the child enjoy meeting new children their age?,El niño/a disfrutaba conocer otros niños de su edad?,N/A,El niño/a disfrutaba conocer otros niños de su edad?,Did the child enjoy meeting other children their age?,NA,El niño/a disfrutaba conocer otros niños de su edad?
RSRI-P,"Did the child’s voice squeak, crack, or sound shaky when they were talking in front of a group of people?",La voz del niño/a se quebraba o temblaba cuando hablaba frente a un grupo de personas?,"La voz del niño chirrió, se quebró o sonó temblorosa cuando hablaba frente a un grupo de personas?","La voz del niño chirrió, se quebró o sonó temblorosa cuando hablaba frente a un grupo de personas?","Did the child's voice squeak, crack, or sound shaky when talking in front of a group of people?",NA,"La voz del niño chirrió, se quebró o sonó temblorosa cuando hablaba frente a un grupo de personas?"
RSRI-P,How popular did the child feel?,Qué tan popular se sentía el niño/a?,N/A,Qué tan popular se sentía el niño/a?,How popular did the child feel?,NA,Qué tan popular se sentía el niño/a?
RSRI-P,"Did the child have any problems with, or have to see a doctor for allergies, sleeplessness, or constipation?","El niño/a tuvo problemas o tuvo que ver a un doctor por alergias, falta de sueño, o estreñimiento?",N/A,"El niño/a tuvo problemas o tuvo que ver a un doctor por alergias, falta de sueño, o estreñimiento?","Did the child have problems or see a doctor for allergies, lack of sleep, or constipation?",NA,"El niño/a tuvo problemas o tuvo que ver a un doctor por alergias, falta de sueño, o estreñimiento?"
RSRI-P,Did the child need a night-light or hall light on in order to go to sleep?,El niño/a necesitaba tener encendida una luz de noche o en el pasillo para poder dormir?,N/A,El niño/a necesitaba tener encendida una luz de noche o en el pasillo para poder dormir?,Did the child need to have a light on at night or in the hallway in order to sleep?,"Original indicates ""falling asleep"" rather than ""sleeping"" more generally.",El niño/a necesitaba tener encendida una luz de noche o en el pasillo para poder quedarse dormido/a?
RSRI-P,Did the child willingly participate in group singing or plays?,El niño/a participaba voluntariamente en obras o musicales grupales?,N/A,El niño/a participaba voluntariamente en obras o musicales grupales?,Did the child voluntarily participate in group plays or group musicals?,"""Singing"" versus ""musicals.""",El niño/a participaba voluntariamente en obras o coros grupales?
RSRI-P,Were the child’s feelings easily hurt?,Los sentimientos del niño/a se herían facilmente?,N/A,Los sentimientos del niño/a se herían facilmente?,Are the child's feelings hurt easily?,"Tense change: past versus present --Confirmed that this is a mistake in the back translation, as “herían” is past tense.",Los sentimientos del niño/a se herían facilmente?
RSRI-P,Did the child tell their friends or family members when they were angry with them?,El niño/a le decía a sus amigos o familiares cuando estaba molesto/a con ellos?,N/A,El niño/a le decía a sus amigos o familiares cuando estaba molesto/a con ellos?,Did the child tell their friends or family members when they were upset with them?,NA,El niño/a le decía a sus amigos o familiares cuando estaba molesto/a con ellos?
RSRI-P,"1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days","1, 0-4 días | 2, 5-9 días | 3, 10-14 días | 4, 15-19 días | 5, 20 o más días",N/A,"1, 0-4 días | 2, 5-9 días | 3, 10-14 días | 4, 15-19 días | 5, 20 o más días","1, 0-4 days | 2, 5-9 days | 3, 10-14 days | 4, 15-19 days | 5, 20 or more days",NA,"1, 0-4 días | 2, 5-9 días | 3, 10-14 días | 4, 15-19 días | 5, 20 o más días"
RSRI-P,"1, never | 2, rarely | 3, sometimes | 4, often | 5, very often","1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente",N/A,"1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente","1, never | 2, rarely | 3, sometimes | 4, frequently | 5, very frequently",NA,"1, nunca | 2, raramente | 3, a veces | 4, frecuentemente | 5, muy frecuentemente"
RSRI-P,"1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night","1, nunca | 2, una vez al año | 3, una vez al mes | 4, una vez a la semana | 5, una vez por noche",N/A,"1, nunca | 2, una vez al año | 3, una vez al mes | 4, una vez a la semana | 5, una vez por noche","1, never | 2, once a year | 3, once a month | 4, once a week | 5, once a night",NA,"1, nunca | 2, una vez al año | 3, una vez al mes | 4, una vez a la semana | 5, una vez por noche"
RSRI-P,"1, very often | 2, often | 3, sometimes | 4, rarely | 5, never","1, muy frecuentemente | 2, frecuentemente | 3, a veces | 4, raramente | 5, nunca",N/A,"1, muy frecuentemente | 2, frecuentemente | 3, a veces | 4, raramente | 5, nunca","1, very frequently | 2, frequently | 3, sometimes | 4, rarely | 5, never",NA,"1, muy frecuentemente | 2, frecuentemente | 3, a veces | 4, raramente | 5, nunca"
RSRI-P,"1, eagerly | 2, agreeably | 3, with coaxing | 4, only if pressured | 5, never","1, con emoción | 2, con disposición | 3, con persuasión | 4, sólo con presión | 5, nunca","1, con emoción | 2, agradablemente | 3, con persuasión | 4, sólo con presión | 5, nunca","1, con emoción | 2, agradablemente | 3, con persuasión | 4, sólo con presión | 5, nunca","1, with emotion | 2, pleasantly | 3, with persuasion | 4, only with pressure | 5, never","Unsure whether ""with emotion"" and ""pleasantly"" are artifacts of translation or imply something different than the original English. --Back translator confirmed that the Spanish is appropriate in the context.","1, con emoción | 2, agradablemente | 3, con persuasión | 4, sólo con presión | 5, nunca"
RSRI-P,"1, not at all | 2, slightly | 3, moderately | 4, very | 5, terrified","1, para nada | 2, ligeramente | 3, moderadamente | 4, bastante | 5, aterrorizado",N/A,"1, para nada | 2, ligeramente | 3, moderadamente | 4, bastante | 5, aterrorizado","1, not at all | 2, slightly | 3, moderately | 4, quite a lot | 5, terrified",NA,"1, para nada | 2, ligeramente | 3, moderadamente | 4, bastante | 5, aterrorizado"
RSRI-P,"1, always | 2, often | 3, sometimes | 4, rarely | 5, never","1, siempre | 2, frecuentemente | 3, a veces | 4, raramente } 5, nunca",N/A,"1, siempre | 2, frecuentemente | 3, a veces | 4, raramente } 5, nunca","1, always | 2, frequently | 3, sometimes | 4, rarely | 5, never",NA,"1, siempre | 2, frecuentemente | 3, a veces | 4, raramente } 5, nunca"
RSRI-P,"1, very | 2, moderately | 3, average | 4, below average | 5, not at all","1, bastante | 2, moderadamente | 3, prmedio | 4, por debajo del promedio } 5, para nada","1, bastante | 2, moderadamente | 3, promedio | 4, por debajo del promedio } 5, para nada","1, bastante | 2, moderadamente | 3, promedio | 4, por debajo del promedio } 5, para nada","1, quite a lot | 2, moderately | 3, average | 4, below average | 5, not at all",NA,"1, bastante | 2, moderadamente | 3, promedio | 4, por debajo del promedio } 5, para nada"
